potential,current
0.2,0.02
0.4,0.04
0.6,0.07
0.8,0.09
1,0.12
1.2,0.2
1.4,0.3
1.6,0.4
1.8,0.5
2,0.8
2.2,1.8
2.4,4
2.6,20.1
2.8,45
3,72.2
3.2,100.4
