potential,current
0.2,0
0.4,0.04
0.6,0.12
1,0.18
1.2,0.22
1.4,0.52
1.6,0.68
1.8,1.08
2,1.3
2.2,1.75
2.4,2
2.6,3.3
2.8,6.2
3,10.05
3.2,16
3.4,22.15
